relative_path,filename,extension,size_bytes,archive_expected_size_bytes,size_match,is_file,is_directory,is_symlink,zero_byte,category,notes
DEJA-VU/data.xlsx,data.xlsx,.xlsx,114947,114947,True,True,False,False,False,spreadsheet,
DEJA-VU/deja_vu_database.db,deja_vu_database.db,.db,233472,233472,True,True,False,False,False,sqlite_database,
DEJA-VU/preprocessed/clean_P001_S001.h5,clean_P001_S001.h5,.h5,64989528,64989528,True,True,False,False,False,preprocessed_hdf5,
DEJA-VU/preprocessed/clean_P001_S002.h5,clean_P001_S002.h5,.h5,55868008,55868008,True,True,False,False,False,preprocessed_hdf5,
DEJA-VU/preprocessed/clean_P002_S001.h5,clean_P002_S001.h5,.h5,58587192,58587192,True,True,False,False,False,preprocessed_hdf5,
DEJA-VU/preprocessed/clean_P002_S002.h5,clean_P002_S002.h5,.h5,66601752,66601752,True,True,False,False,False,preprocessed_hdf5,
DEJA-VU/preprocessed/clean_P003_S001.h5,clean_P003_S001.h5,.h5,63700992,63767712,False,True,False,False,False,preprocessed_hdf5,"TRUNCATED - unar decoder failure, see decision_log.md"
DEJA-VU/preprocessed/clean_P004_S001.h5,clean_P004_S001.h5,.h5,64749568,64967096,False,True,False,False,False,preprocessed_hdf5,"TRUNCATED - unar decoder failure, see decision_log.md"
DEJA-VU/preprocessed/clean_P005_S001.h5,clean_P005_S001.h5,.h5,63011680,63011680,True,True,False,False,False,preprocessed_hdf5,
DEJA-VU/preprocessed/clean_P006_S001.h5,clean_P006_S001.h5,.h5,63382312,63382312,True,True,False,False,False,preprocessed_hdf5,
DEJA-VU/preprocessed/clean_P007_S001.h5,clean_P007_S001.h5,.h5,64207712,64207712,True,True,False,False,False,preprocessed_hdf5,
DEJA-VU/preprocessed/clean_P007_S002.h5,clean_P007_S002.h5,.h5,62753256,62753256,True,True,False,False,False,preprocessed_hdf5,
DEJA-VU/preprocessed/clean_P008_S001.h5,clean_P008_S001.h5,.h5,65772632,65772632,True,True,False,False,False,preprocessed_hdf5,
DEJA-VU/preprocessed/clean_P009_S001.h5,clean_P009_S001.h5,.h5,64703824,64703824,True,True,False,False,False,preprocessed_hdf5,
DEJA-VU/preprocessed/clean_P009_S002.h5,clean_P009_S002.h5,.h5,61607616,61607616,True,True,False,False,False,preprocessed_hdf5,
DEJA-VU/preprocessed/clean_P010_S001.h5,clean_P010_S001.h5,.h5,62652416,62855872,False,True,False,False,False,preprocessed_hdf5,"TRUNCATED - unar decoder failure, see decision_log.md"
DEJA-VU/preprocessed/clean_P011_S001.h5,clean_P011_S001.h5,.h5,68681728,68713552,False,True,False,False,False,preprocessed_hdf5,"TRUNCATED - unar decoder failure, see decision_log.md"
DEJA-VU/preprocessed/clean_P011_S002.h5,clean_P011_S002.h5,.h5,62128128,62384736,False,True,False,False,False,preprocessed_hdf5,"TRUNCATED - unar decoder failure, see decision_log.md"
DEJA-VU/preprocessed/clean_P012_S001.h5,clean_P012_S001.h5,.h5,62149992,62149992,True,True,False,False,False,preprocessed_hdf5,
DEJA-VU/preprocessed/clean_P013_S001.h5,clean_P013_S001.h5,.h5,63748056,63748056,True,True,False,False,False,preprocessed_hdf5,
DEJA-VU/preprocessed/clean_P014_S001.h5,clean_P014_S001.h5,.h5,63700992,63823792,False,True,False,False,False,preprocessed_hdf5,"TRUNCATED - unar decoder failure, see decision_log.md"
DEJA-VU/preprocessed/clean_P015_S001.h5,clean_P015_S001.h5,.h5,60337248,60337248,True,True,False,False,False,preprocessed_hdf5,
DEJA-VU/preprocessed/clean_P016_S001.h5,clean_P016_S001.h5,.h5,61658496,61658496,True,True,False,False,False,preprocessed_hdf5,
DEJA-VU/preprocessed/clean_P017_S001.h5,clean_P017_S001.h5,.h5,59104584,59104584,True,True,False,False,False,preprocessed_hdf5,
DEJA-VU/preprocessed/clean_P017_S002.h5,clean_P017_S002.h5,.h5,63633952,63633952,True,True,False,False,False,preprocessed_hdf5,
DEJA-VU/preprocessed/clean_P018_S001.h5,clean_P018_S001.h5,.h5,65544584,65544584,True,True,False,False,False,preprocessed_hdf5,
DEJA-VU/preprocessed/clean_P019_S001.h5,clean_P019_S001.h5,.h5,47972352,48199272,False,True,False,False,False,preprocessed_hdf5,"TRUNCATED - unar decoder failure, see decision_log.md"
DEJA-VU/preprocessed/clean_P020_S001.h5,clean_P020_S001.h5,.h5,65466648,65466648,True,True,False,False,False,preprocessed_hdf5,
DEJA-VU/preprocessed/clean_P021_S001.h5,clean_P021_S001.h5,.h5,62390272,62524160,False,True,False,False,False,preprocessed_hdf5,"TRUNCATED - unar decoder failure, see decision_log.md"
DEJA-VU/preprocessed/clean_P022_S001.h5,clean_P022_S001.h5,.h5,64338144,64338144,True,True,False,False,False,preprocessed_hdf5,
DEJA-VU/preprocessed/clean_P023_S001.h5,clean_P023_S001.h5,.h5,64749568,64850552,False,True,False,False,False,preprocessed_hdf5,"TRUNCATED - unar decoder failure, see decision_log.md"
DEJA-VU/preprocessed/clean_P024_S001.h5,clean_P024_S001.h5,.h5,62201664,62201664,True,True,False,False,False,preprocessed_hdf5,
DEJA-VU/preprocessed/clean_P025_S001.h5,clean_P025_S001.h5,.h5,58458112,58683112,False,True,False,False,False,preprocessed_hdf5,"TRUNCATED - unar decoder failure, see decision_log.md"
DEJA-VU/preprocessed/clean_P026_S001.h5,clean_P026_S001.h5,.h5,58982400,59201200,False,True,False,False,False,preprocessed_hdf5,"TRUNCATED - unar decoder failure, see decision_log.md"
DEJA-VU/preprocessed/clean_P027_S001.h5,clean_P027_S001.h5,.h5,63069224,63069224,True,True,False,False,False,preprocessed_hdf5,
DEJA-VU/preprocessed/clean_P028_S001.h5,clean_P028_S001.h5,.h5,63322192,63322192,True,True,False,False,False,preprocessed_hdf5,
DEJA-VU/raw/sub-P001/ses-S001/eeg/sub-P001_ses-S001_task-Default_run-001_eeg.xdf,sub-P001_ses-S001_task-Default_run-001_eeg.xdf,.xdf,60728626,60728626,True,True,False,False,False,raw_xdf,
DEJA-VU/raw/sub-P001/ses-S002/eeg/sub-P001_ses-S002_task-Default_run-001_eeg.xdf,sub-P001_ses-S002_task-Default_run-001_eeg.xdf,.xdf,52206300,52206300,True,True,False,False,False,raw_xdf,
DEJA-VU/raw/sub-P002/ses-S001/eeg/sub-P002_ses-S001_task-Default_run-001_eeg.xdf,sub-P002_ses-S001_task-Default_run-001_eeg.xdf,.xdf,54746174,54746174,True,True,False,False,False,raw_xdf,
DEJA-VU/raw/sub-P002/ses-S002/eeg/sub-P002_ses-S002_task-Default_run-001_eeg.xdf,sub-P002_ses-S002_task-Default_run-001_eeg.xdf,.xdf,62237640,62237640,True,True,False,False,False,raw_xdf,
DEJA-VU/raw/sub-P003/ses-S001/eeg/sub-P003_ses-S001_task-Default_run-001_eeg.xdf,sub-P003_ses-S001_task-Default_run-001_eeg.xdf,.xdf,59581907,59581907,True,True,False,False,False,raw_xdf,
DEJA-VU/raw/sub-P004/ses-S001/eeg/sub-P004_ses-S001_task-Default_run-001_eeg.xdf,sub-P004_ses-S001_task-Default_run-001_eeg.xdf,.xdf,60705529,60705529,True,True,False,False,False,raw_xdf,
